id,code,name,description,is_system
e5e64fd6-d2bc-4ed8-bd2d-f3e2bff49f37,EMPLOYEE,Employee,Nhân viên,false
e1234567-89ab-cdef-0123-456789abcdef,USER,User,Người dùng,false
